Bezeichnung,Eindeutige Downloads,Eindeutige Besucher,Downloads,Von Besuchern verbrachte Gesamtzeit (in Sekunden),Metadaten: url,Metadaten: Actions_DownloadUrl,Metadaten: segment
www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_kanton_bezirke.json,4,1,537,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_kanton_bezirke.json,www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_kanton_bezirke.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Frrw%2Fkandidaten_kanton_bezirke.json
www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_kanton_bezirke.json,4,1,2478,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_kanton_bezirke.json,www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_kanton_bezirke.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Frrw%2Fkandidaten_kanton_bezirke.json
www.wahlen.zh.ch/03/nr/NR_2003_Kandidierenden.xls,3,3,3,0,http://www.wahlen.zh.ch/03/nr/NR_2003_Kandidierenden.xls,www.wahlen.zh.ch/03/nr/NR_2003_Kandidierenden.xls,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2F03%2Fnr%2FNR_2003_Kandidierenden.xls
www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/ABI_245_Grundstückgewinnsteuer.pdf,3,3,3,0,http://www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/ABI_245_Grundst%C3%BCckgewinnsteuer.pdf,www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/ABI_245_Grundstückgewinnsteuer.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Finitiativen%2Fdokumente%2FABI_245_Grundst%C3%BCckgewinnsteuer.pdf
www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Initiativbogen Steuererhöhungen.pdf,3,3,3,0,http://www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Initiativbogen%20Steuererh%C3%B6hungen.pdf,www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Initiativbogen Steuererhöhungen.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Finitiativen%2Fdokumente%2FInitiativbogen+Steuererh%C3%B6hungen.pdf
www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorprüfung Medikamentenbezug.pdf,3,3,3,0,http://www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorpr%C3%BCfung%20Medikamentenbezug.pdf,www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorprüfung Medikamentenbezug.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Finitiativen%2Fdokumente%2FVorpr%C3%BCfung+Medikamentenbezug.pdf
www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1935_1967_MODIFIED.geo.json,3,3,3,0,http://www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1935_1967_MODIFIED.geo.json,www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1935_1967_MODIFIED.geo.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fkrdaten_staatsarchiv%2Fgeojson%2Fkarte_1935_1967_MODIFIED.geo.json
www.wahlen.zh.ch/wahlen/rr2015/Hinweise_RR.pdf,3,3,4,0,http://www.wahlen.zh.ch/wahlen/rr2015/Hinweise_RR.pdf,www.wahlen.zh.ch/wahlen/rr2015/Hinweise_RR.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen%2Frr2015%2FHinweise_RR.pdf
www.wahlen.zh.ch/wahlen2019/dev/data/krw/hochrechnung.json,3,3,12,0,http://www.wahlen.zh.ch/wahlen2019/dev/data/krw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/dev/data/krw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fdev%2Fdata%2Fkrw%2Fhochrechnung.json
www.wahlen.zh.ch/wahlen2019/dev/data/rrw/hochrechnung.json,3,3,9,0,http://www.wahlen.zh.ch/wahlen2019/dev/data/rrw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/dev/data/rrw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fdev%2Fdata%2Frrw%2Fhochrechnung.json
